Time;Number of visible nodes;number of matched nodes;Score
77.764;14;5;35
78.396;14;5;35
80.051;12;4;33
80.6;12;5;41
81.435;12;5;41
83.07;12;4;33
83.399;12;5;41
83.961;12;5;41
86.182;12;5;41
87.206;11;5;45
88.246;11;5;45
88.907;11;5;45
89.58;11;4;36
90.432;11;5;45
91.791;11;5;45
92.178;11;5;45
93.123;10;5;50
93.591;10;5;50
94.591;10;5;50
96.023;10;5;50
97.475;6;3;50
98.256;6;3;50
98.536;6;2;33
99.908;6;3;50
100.563;6;3;50
101.392;6;3;50
101.629;6;3;50
101.87;6;3;50
102.262;6;3;50
102.786;6;3;50
102.963;6;3;50
103.346;6;3;50
103.519;6;3;50
104.125;6;3;50
104.697;6;3;50
105.441;6;3;50
106.18;6;3;50
106.483;6;3;50
106.815;6;3;50
107.043;6;3;50
107.222;6;3;50
108.099;6;3;50
108.783;6;3;50
108.931;6;3;50
109.194;6;3;50
110.029;6;3;50
110.165;6;3;50
110.389;6;3;50
111.071;6;3;50
111.406;6;3;50
111.862;6;3;50
112.461;6;3;50
112.781;6;3;50
113.112;6;3;50
113.414;6;3;50
113.64;6;3;50
114.299;6;3;50
115.005;6;3;50
116.473;6;3;50
117.166;6;3;50
117.487;6;3;50
117.68;6;3;50
118.077;6;3;50
118.427;6;3;50
118.668;6;3;50
119.711;6;3;50
120.391;6;3;50
121.425;6;3;50
