Time;Number of visible nodes;number of matched nodes;Score
27.867;10;8;80
28.647;10;9;90
29.325;9;8;88
29.803;9;8;88
30.435;9;8;88
31.077;9;8;88
31.779;9;8;88
32.646;9;8;88
33.063;9;8;88
33.782;9;8;88
34.516;9;8;88
36.508;9;8;88
37.242;9;8;88
38.063;9;8;88
39.348;9;8;88
40.203;9;8;88
42.963;9;8;88
44.801;9;8;88
45.568;9;8;88
46.297;9;8;88
47.172;9;8;88
47.943;9;8;88
48.6;9;8;88
48.962;9;8;88
50.103;9;8;88
50.647;9;8;88
51.312;9;8;88
51.932;9;8;88
52.529;9;8;88
53.195;9;8;88
54.514;9;8;88
57.178;9;8;88
57.865;9;8;88
58.404;9;8;88
60.116;9;8;88
62.105;9;8;88
62.562;9;8;88
63.174;9;8;88
64.291;9;8;88
64.518;9;8;88
65.186;9;8;88
65.597;9;8;88
67.152;9;8;88
69.134;9;8;88
69.752;9;8;88
