Time;Number of visible nodes;number of matched nodes;Score
4093235000000;15;11;73
4093815000000;15;11;60
4094512000000;15;12;80
4094972000000;15;11;73
4095731000000;15;12;80
4096224000000;15;11;73
4096791000000;14;11;78
4097164000000;14;10;71
4097841000000;14;10;57
4098512000000;14;10;71
4099121000000;14;10;71
4099739000000;14;11;64
4100128000000;14;10;71
4100344000000;14;10;57
4100606000000;13;10;76
4100862000000;13;10;76
4101147000000;13;10;76
4101471000000;13;10;76
4101814000000;13;10;76
4102523000000;13;11;84
4102939000000;13;10;76
4103309000000;13;10;76
4103881000000;13;10;76
4104445000000;13;10;76
4105358000000;13;10;76
4105789000000;13;10;76
4106125000000;13;11;84
4106805000000;13;11;84
4107234000000;13;11;84
4107548000000;13;10;76
4107861000000;13;10;76
4108680000000;13;10;76
4109647000000;13;10;76
4110252000000;13;10;76
4110912000000;13;10;76
4111418000000;13;10;76
4111950000000;13;10;76
4112353000000;13;10;76
4112980000000;13;10;76
4113515000000;13;10;61
4113853000000;13;11;84
4114525000000;13;10;61
4115565000000;13;10;76
4116233000000;12;10;83
4117066000000;12;10;83
4117765000000;12;10;83
4118600000000;12;10;83
4119202000000;12;10;83
4119519000000;12;10;83
4120175000000;12;10;83
4120828000000;12;10;83
4121172000000;12;10;83
4121772000000;12;10;83
4122243000000;12;10;83
4123008000000;12;10;83
4123744000000;12;11;91
4124331000000;12;10;83
4124861000000;12;10;83
4125081000000;12;10;83
4125498000000;12;10;83
4126208000000;12;10;83
4126920000000;12;10;83
4127216000000;12;10;83
4127402000000;12;10;83
4127922000000;12;10;83
4128234000000;12;10;83
4128565000000;12;10;83
4128955000000;12;10;83
4129517000000;12;10;83
4129942000000;12;10;83
